HeatRateCurve,SeriesHRC,InterceptHRC,SlopeHRC
CST_COAL_07_3,CST_COAL_07,-0.734230167,9.1895
CST_COAL_08_1,CST_COAL_08,0,7.05
CST_COAL_08_2,CST_COAL_08,-0.258349915,7.5667
CST_COAL_08_3,CST_COAL_08,-0.645808319,8.0833
CST_COAL_09_1,CST_COAL_09,0,8.2114
CST_COAL_09_2,CST_COAL_09,-0.300911111,8.8132
CST_COAL_09_3,CST_COAL_09,-0.752196752,9.4149
CST_COAL_10_1,CST_COAL_10,0,6.7781
CST_COAL_10_2,CST_COAL_10,-0.127067241,7.0322
CST_COAL_10_3,CST_COAL_10,-1.016706552,8.2184
CST_COAL_11_1,CST_COAL_11,0,7.8092
CST_COAL_11_2,CST_COAL_11,-0.286134655,8.3815
CST_COAL_11_3,CST_COAL_11,-0.71535,8.9538
CST_COAL_12_1,CST_COAL_12,0,7.3672
CST_COAL_12_2,CST_COAL_12,-0.269950577,7.9071
CST_COAL_12_3,CST_COAL_12,-0.674872692,8.447
CST_COAL_13_1,CST_COAL_13,0,7.3547
CST_COAL_13_2,CST_COAL_13,-0.2694775,7.8937
CST_COAL_13_3,CST_COAL_13,-0.673716154,8.4327
CST_COAL_14_1,CST_COAL_14,0,9.0203
CST_COAL_15_1,CST_COAL_15,0,9.068
CST_COAL_16_1,CST_COAL_16,0,7.7838
CST_COAL_16_2,CST_COAL_16,-0.437858182,8.6595
CST_COAL_16_3,CST_COAL_16,-0.583818182,8.8541
CST_COAL_17_1,CST_COAL_17,0,8.5996
CST_COAL_17_2,CST_COAL_17,-0.16125873,8.9221
CST_COAL_17_3,CST_COAL_17,-1.289942063,10.427
CST_COAL_18_1,CST_COAL_18,0,8.6278
CST_COAL_18_2,CST_COAL_18,-0.3161688,9.2601
CST_COAL_18_3,CST_COAL_18,-0.7904048,9.8924
CST_COAL_19_1,CST_COAL_19,0,7.9624
CST_COAL_19_2,CST_COAL_19,-0.2917736,8.5459
CST_COAL_19_3,CST_COAL_19,-0.7294032,9.1294
CST_COAL_20_1,CST_COAL_20,0,8.1661
CST_COAL_20_2,CST_COAL_20,-0.0768852,8.3962
CST_COAL_20_3,CST_COAL_20,-0.2239292,8.6603
CST_COAL_20_4,CST_COAL_20,-0.4211508,8.9133
CST_COAL_21_1,CST_COAL_21,0,8.0444
CST_COAL_21_2,CST_COAL_21,-0.2947632,8.6339
CST_COAL_21_3,CST_COAL_21,-0.7369596,9.2235
CST_COAL_22_1,CST_COAL_22,0,7.923
CST_COAL_22_2,CST_COAL_22,-0.2903012,8.5036
CST_COAL_22_3,CST_COAL_22,-0.725816,9.0843
CST_COAL_23_1,CST_COAL_23,0,8.2986
CST_COAL_23_2,CST_COAL_23,-0.3040812,8.9068
CST_COAL_23_3,CST_COAL_23,-0.7602284,9.515
CST_COAL_24_1,CST_COAL_24,0,9.7061
CST_COAL_25_1,CST_COAL_25,0,7.5789
CST_COAL_25_2,CST_COAL_25,-0.142126316,7.8632
CST_COAL_25_3,CST_COAL_25,-1.136861842,9.1895
CST_COAL_26_1,CST_COAL_26,0,10.5021
CST_COAL_26_2,CST_COAL_26,-0.384815831,11.2717
CST_COAL_26_3,CST_COAL_26,-0.962084639,12.0414
CST_COAL_27_1,CST_COAL_27,0,8.1127
CST_COAL_27_2,CST_COAL_27,-0.456361739,9.0254
CST_COAL_27_3,CST_COAL_27,-0.608473913,9.2282
CST_COAL_28_1,CST_COAL_28,0,9.8245
CST_COAL_28_2,CST_COAL_28,-0.35999115,10.5445
CST_COAL_28_3,CST_COAL_28,-0.899987611,11.2645
CST_COAL_29_1,CST_COAL_29,0,9.2903
CST_COAL_29_2,CST_COAL_29,-0.522589474,10.3355
CST_COAL_29_3,CST_COAL_29,-0.696743158,10.5677
CST_FUELOIL_1_01_1,CST_FUELOIL_1_01,0,9.3628
CST_LIGNITE_01_1,CST_LIGNITE_01,0,6.8134
CST_LIGNITE_01_2,CST_LIGNITE_01,-0.249688574,7.3128
CST_LIGNITE_01_3,CST_LIGNITE_01,-0.624175656,7.8121
CST_LIGNITE_02_1,CST_LIGNITE_02,0,8.3721
CST_LIGNITE_03_1,CST_LIGNITE_03,0,6.7925
CST_LIGNITE_03_2,CST_LIGNITE_03,-0.127373526,7.0472
CST_LIGNITE_03_3,CST_LIGNITE_03,-1.018831098,8.2358
CST_LIGNITE_04_1,CST_LIGNITE_04,0,8.6124
CST_LIGNITE_05_1,CST_LIGNITE_05,0,7.4283
CST_LIGNITE_05_2,CST_LIGNITE_05,-0.272203646,7.9727
CST_LIGNITE_05_3,CST_LIGNITE_05,-0.680507943,8.5171
CST_LIGNITE_06_1,CST_LIGNITE_06,0,8.2286
CST_LIGNITE_06_2,CST_LIGNITE_06,-0.154264474,8.5371
CST_LIGNITE_06_3,CST_LIGNITE_06,-1.234253728,9.9771
CST_LIGNITE_07_1,CST_LIGNITE_07,0,8.2286
CST_LIGNITE_07_2,CST_LIGNITE_07,-0.462864474,9.1543
CST_LIGNITE_07_3,CST_LIGNITE_07,-0.617142982,9.36
CST_LIGNITE_08_1,CST_LIGNITE_08,0,7.183
CST_LIGNITE_08_2,CST_LIGNITE_08,-0.263190751,7.7094
CST_LIGNITE_08_3,CST_LIGNITE_08,-0.657982197,8.2358
CST_LIGNITE_09_1,CST_LIGNITE_09,0,9
CST_LIGNITE_10_1,CST_LIGNITE_10,0,8.9576
