Line,Time,Flow,Limit
Cro_10.To.Cro_8,70,-86.68546989038794,734.0
Cro_10.To.Cro_8,71,-80.41714607461586,734.0
Cro_10.To.Cro_8,72,-73.72737916683018,734.0
Cro_10.To.Cro_8,73,-63.354264617957234,734.0
Cro_10.To.Cro_8,74,-56.46278657747722,734.0
Cro_10.To.Cro_8,75,-43.06002030682579,734.0
Cro_10.To.Cro_8,76,-33.77245947895084,734.0
Cro_10.To.Cro_8,77,-44.89488054247444,734.0
Cro_10.To.Cro_8,78,-48.049960175230474,734.0
Cro_10.To.Cro_8,79,-33.38255824203624,734.0
Cro_10.To.Cro_8,80,30.809074484786223,734.0
Cro_10.To.Cro_8,81,-57.868188471960536,734.0
Cro_10.To.Cro_8,82,-75.42537508571043,734.0
Cro_10.To.Cro_8,83,-102.01988810762313,734.0
Cro_10.To.Cro_8,84,-114.41762423050014,734.0
Cro_10.To.Cro_8,85,-193.36614442661633,734.0
Cro_10.To.Cro_8,86,-163.70760805640094,734.0
Cro_10.To.Cro_8,87,-173.2607388320622,734.0
Cro_10.To.Cro_8,88,-204.10720288464427,734.0
Cro_10.To.Cro_8,89,-68.37064969681084,734.0
Cro_10.To.Cro_8,90,-60.08122735695721,734.0
Cro_10.To.Cro_8,91,-60.666252814816815,734.0
Cro_10.To.Cro_8,92,-71.74210012766923,734.0
Cro_10.To.Cro_8,93,-75.75153010590017,734.0
Cro_10.To.Cro_8,94,-67.64522361097603,734.0
Cro_10.To.Cro_8,95,-65.43177910877932,734.0
Cro_10.To.Cro_8,96,-65.79477939489223,734.0
Aus_32.To.Aus_31,1,-162.24247610614506,1053.0
Aus_32.To.Aus_31,2,-161.01691980351643,1053.0
Aus_32.To.Aus_31,3,-159.79136350088774,1053.0
Aus_32.To.Aus_31,4,-158.5658071982591,1053.0
Aus_32.To.Aus_31,5,-157.3402508956307,1053.0
Aus_32.To.Aus_31,6,-156.78434517635316,1053.0
Aus_32.To.Aus_31,7,-156.22843945707595,1053.0
Aus_32.To.Aus_31,8,-155.67253373779872,1053.0
Aus_32.To.Aus_31,9,-155.11662801852148,1053.0
Aus_32.To.Aus_31,10,-157.82372706812498,1053.0
Aus_32.To.Aus_31,11,-160.53082611772885,1053.0
Aus_32.To.Aus_31,12,-163.2379251673327,1053.0
Aus_32.To.Aus_31,13,-165.94502421693628,1053.0
Aus_32.To.Aus_31,14,-170.96797380685555,1053.0
Aus_32.To.Aus_31,15,-175.99092339677452,1053.0
Aus_32.To.Aus_31,16,-181.0138729866938,1053.0
Aus_32.To.Aus_31,17,-186.03682257661276,1053.0
Aus_32.To.Aus_31,18,-192.79066054194922,1053.0
Aus_32.To.Aus_31,19,-199.54449850728534,1053.0
Aus_32.To.Aus_31,20,-206.29833647262186,1053.0
Aus_32.To.Aus_31,21,-213.05217443795797,1053.0
Aus_32.To.Aus_31,22,-217.53220134945846,1053.0
Aus_32.To.Aus_31,23,-222.01222826095892,1053.0
Aus_32.To.Aus_31,24,-226.49225517245907,1053.0
Aus_32.To.Aus_31,25,-230.9722820839598,1053.0
Aus_32.To.Aus_31,26,-231.6287035688983,1053.0
Aus_32.To.Aus_31,27,-232.28512505383708,1053.0
Aus_32.To.Aus_31,28,-232.94154653877555,1053.0
Aus_32.To.Aus_31,29,-233.59796802371446,1053.0
Aus_32.To.Aus_31,30,-232.8433554943659,1053.0
Aus_32.To.Aus_31,31,-232.08874296501767,1053.0
Aus_32.To.Aus_31,32,-231.33413043566915,1053.0
Aus_32.To.Aus_31,33,-230.57951790632094,1053.0
Aus_32.To.Aus_31,34,-229.91119463120123,1053.0
Aus_32.To.Aus_31,35,-229.24287135608157,1053.0
Aus_32.To.Aus_31,36,-228.57454808096162,1053.0
Aus_32.To.Aus_31,37,-227.9062248058422,1053.0
Aus_32.To.Aus_31,38,-228.2226900177171,1053.0
Aus_32.To.Aus_31,39,-228.53915522959213,1053.0
Aus_32.To.Aus_31,40,-228.85562044146693,1053.0
Aus_32.To.Aus_31,41,-229.17208565334235,1053.0
Aus_32.To.Aus_31,42,-226.14791712621886,1053.0
Aus_32.To.Aus_31,43,-223.12374859909596,1053.0
Aus_32.To.Aus_31,44,-220.0995800719727,1053.0
Aus_32.To.Aus_31,45,-217.07541154484954,1053.0
Aus_32.To.Aus_31,46,-216.28202475337633,1053.0
Aus_32.To.Aus_31,47,-215.48863796190335,1053.0
Aus_32.To.Aus_31,48,-214.69525117043048,1053.0
Aus_32.To.Aus_31,49,-213.90186437895724,1053.0
Aus_32.To.Aus_31,50,-213.38554529919972,1053.0
Aus_32.To.Aus_31,51,-212.86922621944197,1053.0
Aus_32.To.Aus_31,52,-212.35290713968453,1053.0
Aus_32.To.Aus_31,53,-211.83658805992695,1053.0
Aus_32.To.Aus_31,54,-212.55761265670677,1053.0
Aus_32.To.Aus_31,55,-213.27863725348652,1053.0
Aus_32.To.Aus_31,56,-213.99966185026597,1053.0
Aus_32.To.Aus_31,57,-214.72068644704575,1053.0
Aus_32.To.Aus_31,58,-216.70796228633043,1053.0
Aus_32.To.Aus_31,59,-218.69523812561505,1053.0
Aus_32.To.Aus_31,60,-220.6825139649,1053.0
Aus_32.To.Aus_31,61,-222.66978980418472,1053.0
Aus_32.To.Aus_31,62,-225.6641712775619,1053.0
Aus_32.To.Aus_31,63,-228.65855275093875,1053.0
Aus_32.To.Aus_31,64,-231.65293422431537,1053.0
Aus_32.To.Aus_31,65,-234.64731569769222,1053.0
Aus_32.To.Aus_31,66,-235.44790727290876,1053.0
Aus_32.To.Aus_31,67,-236.2484988481254,1053.0
Aus_32.To.Aus_31,68,-237.04909042334168,1053.0
Aus_32.To.Aus_31,69,-237.84968199855825,1053.0
Aus_32.To.Aus_31,70,-237.9819322271917,1053.0
Aus_32.To.Aus_31,71,-238.1141824558251,1053.0
Aus_32.To.Aus_31,72,-238.24643268445854,1053.0
Aus_32.To.Aus_31,73,-238.37868291309195,1053.0
Aus_32.To.Aus_31,74,-237.100388912755,1053.0
Aus_32.To.Aus_31,75,-235.82209491241832,1053.0
Aus_32.To.Aus_31,76,-234.54380091208142,1053.0
Aus_32.To.Aus_31,77,-233.26550691174478,1053.0
Aus_32.To.Aus_31,78,-229.0441459106222,1053.0
