zone,bus,fuel,generator,time,value
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,81,540.3141862601113
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,82,547.089883807339
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,83,554.0890115326355
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,84,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,85,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,86,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,87,547.0587828273475
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,88,537.0472586500672
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,89,534.6284329239568
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,90,505.15257063289863
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,91,475.5649932528062
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,92,446.08913096174587
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,93,416.7808413042379
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,94,390.4882885387836
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,95,363.97230559525786
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,96,337.6238952852861
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,1,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,2,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,3,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,4,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,5,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,6,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,7,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,8,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,9,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,10,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,11,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,12,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,13,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,14,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,15,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,16,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,17,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,18,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,19,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,20,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,21,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,22,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,23,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,24,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,25,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,26,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,27,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,28,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,29,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,30,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,31,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,32,168.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,33,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,34,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,35,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,36,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,37,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,38,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,39,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,40,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,41,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,42,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,43,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,44,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,45,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,46,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,47,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,48,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,49,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,50,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,51,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,52,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,53,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,54,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,55,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,56,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,57,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,58,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,59,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,60,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,61,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,62,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,63,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,64,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,65,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,66,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,67,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,68,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,69,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,70,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,71,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,72,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,73,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,74,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,75,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,76,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,77,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,78,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,79,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,80,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,81,143.91828631010162
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,82,143.91828631010162
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,83,143.91828631010162
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,84,359.79571577525405
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,85,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,86,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,87,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,88,420.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,89,60.20428422474589
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,90,24.08171368989835
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,91,24.08171368989838
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,92,24.08171368989838
