"Load","BusLoad","DynamicProfileLoad","ReferenceValueLoad","LoadValuation"
"Load_D-34","D-34","DE_LOAD",1437.13,3000
"Load_D-175","D-175","DE_LOAD",356.49,3000
"Load_D-187","D-187","DE_LOAD",468.12,3000
"Load_D-35","D-35","DE_LOAD",1437.13,3000
"Load_D-37","D-37","DE_LOAD",572.67,3000
"Load_D-121","D-121","DE_LOAD",351.85,3000
"Load_D-33","D-33","DE_LOAD",390.61,3000
"Load_D-30","D-30","DE_LOAD",390.61,3000
"Load_D_Connef","D_Connef","DE_LOAD",390.61,3000
"Load_D-29","D-29","DE_LOAD",390.61,3000
"Load_D-15","D-15","DE_LOAD",150.91,3000
"Load_D-24","D-24","DE_LOAD",390.61,3000
"Load_D-20","D-20","DE_LOAD",499.56,3000
"Load_D-19","D-19","DE_LOAD",549.65,3000
"Load_D-185","D-185","DE_LOAD",753.1,3000
"Load_D-195","D-195","DE_LOAD",400.03,3000
"Load_D-13","D-13","DE_LOAD",324.79,3000
"Load_D-196","D-196","DE_LOAD",400.03,3000
"Load_D-194","D-194","DE_LOAD",375.61,3000
"Load_D-7","D-7","DE_LOAD",249.24,3000
"Load_D-199","D-199","DE_LOAD",400.03,3000
"Load_D-198","D-198","DE_LOAD",468.12,3000
"Load_D-193","D-193","DE_LOAD",482.6,3000
"Load_D_185","D_185","DE_LOAD",332.07,3000
"Load_D-206","D-206","DE_LOAD",468.12,3000
"Load_D-209","D-209","DE_LOAD",468.12,3000
"Load_D-205","D-205","DE_LOAD",482.6,3000
"Load_D-212","D-212","DE_LOAD",400.03,3000
"Load_E-215","E-215","DE_LOAD",400.03,3000
"Load_E-204","E-204","DE_LOAD",400.03,3000
"Load_D-71","D-71","DE_LOAD",680.77,3000
"Load_E-218","E-218","DE_LOAD",400.03,3000
"Load_E-217","E-217","DE_LOAD",400.03,3000
"Load_D-158","D-158","DE_LOAD",356.49,3000
"Load_D-224","D-224","DE_LOAD",468.12,3000
"Load_D-216","D-216","DE_LOAD",468.12,3000
"Load_E-223","E-223","DE_LOAD",400.03,3000
"Load_D-203","D-203","DE_LOAD",400.03,3000
"Load_D-183","D-183","DE_LOAD",468.12,3000
"Load_F-300","F-300","MPY_LOAD",277.65,3000
"Load_F-299","F-299","PACA_LOAD",494.27,3000
"Load_F-298","F-298","MPY_LOAD",277.65,3000
"Load_F-297","F-297","PACA_LOAD",494.27,3000
"Load_F-38","F-38","LOR_LOAD",266.71,3000
"Load_F-296","F-296","LAN_LOAD",261.02,3000
"Load_F-295","F-295","LAN_LOAD",261.02,3000
"Load_F-37","F-37","HNOR_LOAD",265.39,3000
