Bus,ZoneBus,Xcoord,Ycoord,Country
D-98,DE/LX,717.289978,707.3625183,D
D-117,DE/LX,661.2399902,681.9375,D
D-116,DE/LX,464.3800049,682.289978,D
D-115,DE/LX,640.4299927,684.5099945,D
D-119,DE/LX,506.0299988,677.8200073,D
D-118,DE/LX,559.25,679.2825165,D
D-120,DE/LX,447.0700073,673.957489,D
D-114,DE/LX,625.5300293,685.6500092,D
D-147,DE/LX,384.0700073,625.3049927,D
D-125,DE/LX,654,668.25,D
D-124,DE/LX,524.5999756,668.6775055,D
D-123,DE/LX,400.2399902,669.1125183,D
D-97,DE/LX,473.1400147,707.5124817,D
D-104,DE/LX,407.6499939,702.5099945,D
D-122,DE/LX,683.4699707,671.085022,D
D-101,DE/LX,436.0400085,705.5099945,D
D_233,DE/LX,688,512.25,D
D-113,DE/LX,671.2749634,687.3674927,D
D-72,DE/LX,468.3399963,739.6875,D
D-148,DE/LX,489.3399963,623.0024872,D
D-138,DE/LX,483.2799988,650.7149963,D
D_Tienge,DE/LX,484,450,D
D-130,DE/LX,470.6300049,658.1999817,D
D-129,DE/LX,625.7700195,662.7974854,D
D-133,DE/LX,461.5799866,657.1199799,D
D_Siersd,DE/LX,365,657,D
D-137,DE/LX,398.6199951,650.8725128,D
D-136,DE/LX,377,653,D
D_Rommer,DE/LX,382.0250001,664,D
D-135,DE/LX,599.6900024,653.0700073,D
D_engstl,DE/LX,478.9200134,454.2149963,D
D-131,DE/LX,445.230011,657.5775147,D
D-143,DE/LX,457.7399902,630.105011,D
D-142,DE/LX,604.4899902,635.2874908,D
D-144,DE/LX,423.1900024,626.7449799,D
D-141,DE/LX,407.6499939,642.0600128,D
D-145,DE/LX,439.1300049,626.3849945,D
D-149,DE/LX,502.6099854,620.4224854,D
D-150,DE/LX,599.3499756,619.7025147,D
D-146,DE/LX,429.6700134,625.6274872,D
D-140,DE/LX,632.0999756,642.9075165,D
D-153,DE/LX,480,612.9824982,D
D_kuhmoo,DE/LX,465.9082283,446.8164566,D
D-82,DE/LX,696.9500122,721.0724945,D
D-154,DE/LX,555.1599731,611.332489,D
D-152,DE/LX,500.6799927,615.0150147,D
D-157,DE/LX,480.730011,606.1349945,D
D-78,DE/LX,460.1499939,730.9949799,D
D-156,DE/LX,651.6400147,606.4425201,D
D-139,DE/LX,529.8499756,648.0150147,D
D-155,DE/LX,468,609,D
D-151,DE/LX,588.2199707,615.9000092,D
D-127,DE/LX,424.980011,666.6600037,D
D_Gronau,DE/LX,395.1700134,744.2550201,D
D-163,DE/LX,529.0900269,592.8450165,D
D-69,DE/LX,520.8200073,742.980011,D
D-162,DE/LX,401,596,D
D-165/16,DE/LX,482.519989,586.9875183,D
D-171,DE/LX,523.8300171,584.6624908,D
D-65,DE/LX,434.3999939,754.2750092,D
D-170,DE/LX,618.9799805,584.8049927,D
D-161,DE/LX,603.2299805,595.7400055,D
D-174,DE/LX,591.8900147,581.5350037,D
D-61,DE/LX,475.1199951,761.1899872,D
D-173,DE/LX,393,582.75,D
D-231,DE/LX,692,532.5,D
D-172,DE/LX,654.8099976,584.039978,D
D-160,DE/LX,382,596.25,D
D-178,DE/LX,444.1099854,564.6225128,D
D-51,DE/LX,565.5999756,772.2600403,D
D-177,DE/LX,480.309265,566.0999908,D
D-53,DE/LX,528.7600098,767.9250183,D
D-180,DE/LX,423.7200012,562.980011,D
D-42,DE/LX,437.0100098,794.894989,D
D-176,DE/LX,516.0300293,569.3399963,D
D-49,DE/LX,490.2099915,777.292511,D
D_oberbr,DE/LX,612,468,D
D-182,DE/LX,489.6799927,560.7449799,D
D-159,DE/LX,513.039978,601.6799927,D
D-45,DE/LX,640.1500244,788.6400147,D
D-181,DE/LX,524.8300171,560.9700165,D
D-34,DE/LX,668.8599854,807.2549744,D
D-175,DE/LX,504.2799988,576.8699799,D
D-1,DE/LX,474.019989,917.309967,D
D-187,DE/LX,651,551.0999908,D
D-35,DE/LX,681.8099976,806.3174744,D
D-189,DE/LX,528,546.75,D
D-37,DE/LX,456.8900147,804.457489,D
D-121,DE/LX,678.0300293,673.0800018,D
D-191,DE/LX,675.0999756,540.1875,D
D-32,DE/LX,443.8182218,811.1570673,D
D-33,DE/LX,486.8800049,810.2399597,D
D-30,DE/LX,539.0499878,814.019989,D
D-27,DE/LX,391.1300049,825.397522,D
D_Connef,DE/LX,434.7200012,822.1950073,D
D-29,DE/LX,404.2099915,821.565033,D
D-190,DE/LX,628.1799927,546.5024872,D
D-15,DE/LX,580.2800293,856.6350403,D
D-23,DE/LX,511.6600037,840.1799927,D
D-24,DE/LX,456.1300049,835.019989,D
D-20,DE/LX,497.8200073,842.565033,D
D-21,DE/LX,536.9699707,842.565033,D
D-19,DE/LX,708.8599854,844.2375183,D
D-18,DE/LX,491.3599854,845.332489,D
D-185,DE/LX,393,559.5,D
D-195,DE/LX,535.0599976,534,D
D-13,DE/LX,691.9000244,866.3399963,D
D-12,DE/LX,476,868,D
D-196,DE/LX,519.5499878,531.772522,D
D-194,DE/LX,566.9799805,534.6300201,D
D-7,DE/LX,608.710022,893.3174744,D
D-199,DE/LX,491.9899902,526.207489,D
D-198,DE/LX,604.2399902,528.5024872,D
D-193,DE/LX,669.8699951,537.8849945,D
D_185,DE/LX,408.4500122,559.6724854,D
D-206,DE/LX,656.5499878,514.522522,D
D-209,DE/LX,645.7700195,509.542511,D
D-205,DE/LX,608.4799805,515.460022,D
D-212,DE/LX,460.25,504.6225128,D
E-215,DE/LX,510.8999939,492.457489,D
E-204,DE/LX,573.1400147,516.0449982,D
D-71,DE/LX,474.4100037,740.1524963,D
E-218,DE/LX,539.3499756,481.6799927,D
E-217,DE/LX,499.9899902,481.9425201,D
D-158,DE/LX,493.8500061,603.5999908,D
D-224,DE/LX,585.9899902,460.4625092,D
D-216,DE/LX,667.9099731,491.4900055,D
E-223,DE/LX,511.3999939,462.8925018,D
D-203,DE/LX,528.3800049,521.1074982,D
D-183,DE/LX,658.9299927,560.2949982,D
D-126,DE/LX,382,668,D
F-300,FR,164.0099945,159.0525055,F
F-299,FR,364.2000122,162.9975014,F
F_Vigy,FR,376.3699951,543.269989,F
F-298,FR,152.9900055,163.1924973,F
F-297,FR,340.7799988,163.5525055,F
F-38,FR,363.7200012,543.3825073,F
F-296,FR,231.2899933,164.3700028,F
F-295,FR,259.1600037,169.2374954,F
F-37,FR,136.6499939,544.3650055,F
F-294,FR,273.3900147,170.3774986,F
F-293,FR,418.1700134,171.1724968,F
F-36,FR,235.3500061,546.5775147,F
F-292,FR,144.8800049,172.1324959,F
F-291,FR,350.9299927,173.2650032,F
F-35,FR,205.1000061,547.4100037,F
F-290,FR,292.4400024,175.3050041,F
F-289,FR,48.86000061,176.3624954,F
F-34,FR,1.72000003,551.542511,F
F-288,FR,365.7900085,177.8100014,F
F-287,FR,388.0799866,178.4474945,F
F-33,FR,212.2799988,551.8874817,F
F-286,FR,405.4200134,183.6299973,F
F-285,FR,306.25,183.6299973,F
F-32,FR,86.66000366,554.6549835,F
F_canteg,FR,23.22999954,187.1099968,F
F-283,FR,335.5499878,187.5449982,F
F-31,FR,194.8500061,556.0800018,F
F-282,FR,383.6900024,187.7999954,F
F-281,FR,186.9247339,189.1349945,F
F-30,FR,103.4599991,556.6500092,F
F-280,FR,451.3500061,189.8925018,F
F-279,FR,122.7699966,190.0049973,F
F-29,FR,118.199997,556.9350128,F
F-278,FR,274.8599854,191.2349968,F
F-277,FR,224.3200073,192.5175018,F
F-28,FR,373.6900024,557.7825165,F
F-276,FR,392.5499878,194.0400009,F
F-275,FR,322.0700073,197.0324936,F
F-27,FR,286.0299988,557.9625092,F
F-274,FR,345.3699951,200.5499954,F
F-273,FR,110.1699982,201.7949982,F
F-26,FR,88.23999786,558.269989,F
F-272,FR,296.5499878,204.0374908,F
F-271,FR,397.8599854,205.019989,F
F_Moulai,FR,354,558,F
F-270,FR,397.519989,210.6600037,F
F-269,FR,390.0400085,215.7374954,F
F-24,FR,323.1300049,561.832489,F
F-268,FR,211.1100006,218.0400009,F
F-267,FR,324.3699951,219.6150055,F
F-23,FR,215.6399994,567.6899872,F
F-266,FR,86.25,221.6399918,F
F-265,FR,120.5400009,222.0750046,F
F-22,FR,126.7099991,567.6899872,F
F-264,FR,297.6700134,223.5075073,F
F-263,FR,43.29999924,225.667511,F
F-21,FR,236.7799988,568.5600128,F
F-262,FR,27.31999969,227.1974945,F
F-261,FR,191.6000061,227.2800064,F
F-20,FR,162.2200012,573.1500092,F
F-260,FR,208.1699982,233.1749954,F
F-259,FR,326.8200073,234.292511,F
F-19,FR,111.3399963,576.082489,F
F-258,FR,395.8900147,236.8125,F
F-257,FR,295.2600098,238.7999954,F
F-18,FR,303.9899902,577.2825165,F
F-256,FR,330.980011,238.9950028,F
F-255,FR,215.25,245.6025009,F
F-17lonn,FR,288.0299988,578.9625092,F
F-254,FR,246.1399994,246.8025055,F
F-253,FR,111.699997,247.5149918,F
F-16,FR,182.4700012,586.1400147,F
F-252,FR,149.3200073,251.167511,F
F-251,FR,382.8699951,252.7575073,F
F-15,FR,137.8200073,586.6875,F
F-250,FR,332.6000061,253.2225037,F
F-249,FR,329.7600098,256.1399918,F
F-14,FR,265.25,587.9924927,F
F-248,FR,234.5,256.7249908,F
F-247,FR,54.66999817,257.0625,F
F-13,FR,148.9400024,590.1750183,F
F-246,FR,188.1699982,257.9775009,F
